Name,Kingdom,Locations,Update Dates
Hairy Solomon's-seal,plantae,"44.436356, -79.761811,44.500617, -76.549019,44.511928, -76.039878","2022:09:05 17:27:45,2023:05:21 14:59:24,2023:05:22 12:30:25"
Indian Cucumber,plantae,"43.833794, -81.456939,44.672747, -81.250831,44.505822, -76.042917","2022:09:05 10:51:59,2022:09:17 16:03:21,2023:05:22 11:36:52"
Juneberry,plantae,"45.996249, -81.415578,43.809494, -79.164139","2022:07:03 13:40:12,2023:06:27 19:37:18"
Kinnikinnick,plantae,"44.297311, -81.603792",2022:09:11 13:05:44
Lemon balm,plantae,"43.753948, -81.699138",2022:11:05 13:29:57
Mayapple,plantae,"43.634443, -79.970757,44.036079, -78.916293,43.800656, -79.107856,43.853858, -78.966492,44.296592, -77.793075","2022:05:21 13:29:43,2023:04:24 15:02:05,2023:05:28 13:15:48,2023:06:10 18:26:27,2023:09:09 15:53:34"
Mint,plantae,"43.893367, -81.302825,44.571547, -79.330628,43.817408, -79.165917","2022:09:01 19:27:56,2023:11:05 13:13:55,2023:12:10 14:13:10"
Nannyberry,plantae,"43.883653, -81.494132,43.637075, -81.478564,43.883442, -81.494239,43.883228, -81.494011,43.827658, -78.993089,43.872519, -78.791503,43.852658, -78.881011","2022:08:09 13:24:07,2022:08:09 16:29:50,2022:09:08 11:00:52,2022:09:08 12:09:27,2023:05:30 19:06:13,2023:06:28 19:36:59,2023:07:08 14:57:10"
Oregano,plantae,"43.886080, -81.492120,43.494947, -80.526652,43.691064, -81.585983,43.760042, -81.707100","2022:08:09 12:35:16,2022:08:23 15:27:10,2022:08:27 14:22:19,2022:11:05 14:20:12"
Partridge berry,plantae,"43.257462, -81.836643,44.436394, -79.761353 ,44.437561, -79.757692,44.670856, -81.252006,44.246525, -81.220550,45.916242, -80.550606,46.182147, -74.559722","2022:05:08 13:51:19,2022:09:05 15:40:28,2022:09:05 16:38:06,2022:09:17 15:22:23,2023:03:11 16:15:14,2023:08:25 12:56:06,2023:12:27 12:43:28"
Purple-flowering raspberry,plantae,"43.853400, -78.964669,43.814597, -79.156747,44.298633, -77.790000","2023:06:10 18:35:45,2023:06:27 20:32:00,2023:09:09 16:14:15"
Red columbine,plantae,"44.506000, -76.552353",2023:05:21 13:40:25
Red currant,plantae,"43.887873, -81.322133,43.871297, -78.789392,43.799678, -79.108969,44.151019, -79.900153","2022:07:17 11:45:18,2023:05:13 14:08:31,2023:05:19 12:27:53,2023:10:28 14:48:10"
Red raspberry,plantae,"45.996249, -81.415578,43.825747, -81.456664,43.742298, -80.962764,43.753948, -81.699138,44.923922, -78.071319,43.901303, -79.176767,46.837606, -72.762733","2022:07:03 14:45:45,2022:08:27 11:02:29,2022:10:02 12:10:59,2022:11:04 15:19:46,2023:06:03 17:10:11,2023:07:09 18:21:27,2023:10:08 15:26:27"
Self-heal,plantae,"43.886637, -81.491778,43.827178, -81.459069,43.650356, -81.486725,43.719314, -81.697289,44.032119, -79.104994","2022:08:09 13:07:10,2022:08:27 11:53:25,2022:10:23 14:18:18,2022:11:13 14:44:28,2023:06:24 17:39:15"
Starry Solomon's Seal,plantae,"43.800067, -79.108306,44.033853, -79.113778","2023:05:19 11:47:37,2023:06:24 16:47:28"
Strawberry,plantae,"42.950767, -81.394425,43.874325, -78.787514,43.800981, -79.107467,44.536769, -76.039353,44.032856, -79.109903,43.848890, -78.899892,43.827586, -78.991683,46.183556, -74.563269,46.256339, -74.256492","2022:12:30 15:24:50,2023:05:13 15:09:07,2023:05:19 12:15:40,2023:05:22 14:36:09,2023:06:24 17:53:39,2023:06:30 15:56:10,2023:06:30 18:02:29,2023:12:27 11:51:49,2023:12:29 13:16:21"
Teaberry,plantae,"43.259264, -81.836287,46.045717, -81.324487,44.917508, -78.062728,46.017078, -80.588708,46.016158, -80.601936,46.583203, -82.674081,46.720858, -79.811919,45.921250, -80.556000,46.183933, -74.563217","2022:05:08 13:43:15,2022:07:03 11:52:32,2023:06:03 15:24:09,2023:08:21 15:58:34,2023:08:21 16:44:05,2023:08:22 16:25:01,2023:08:24 16:45:28,2023:08:25 13:48:58,2023:12:27 11:57:09"
Trailing fuzzy-bean,plantae,"42.579341, -80.384408",2022:08:14 13:56:01
Wild Basil,plantae,"43.885834, -81.491779,43.828075, -81.456475,43.826847, -81.458533,44.673375, -81.252403,44.537769, -76.039414,45.783428, -82.700447,44.631925, -78.872908","2022:08:09 13:21:47,2022:08:27 11:11:23,2022:09:05 09:45:21,2022:09:17 15:11:50,2023:05:22 14:32:23,2023:08:23 16:53:22,2023:09:17 16:42:14"
Wild Garlic,plantae,"43.880433, -81.490381",2022:09:08 11:46:32
